Date,ticker,instrument,open,high,low,close,volume
2010-06-11,HYMTF,Hyundai,17.75,19.0,19.0,19.0,512
2010-06-14,HYMTF,Hyundai,19.0,19.0,19.0,19.0,0
2010-06-15,HYMTF,Hyundai,19.0,19.0,19.0,19.0,0
2010-06-16,HYMTF,Hyundai,17.75,20.5,20.5,20.5,250
2010-06-17,HYMTF,Hyundai,17.75,21.450000762939453,20.75,20.75,2286
2010-06-18,HYMTF,Hyundai,20.75,20.75,20.75,20.75,0
2010-06-21,HYMTF,Hyundai,20.75,20.75,20.75,20.75,0
2010-06-22,HYMTF,Hyundai,20.75,20.75,20.75,20.75,0
2010-06-23,HYMTF,Hyundai,17.75,20.520000457763672,20.520000457763672,20.520000457763672,300
2010-06-24,HYMTF,Hyundai,20.520000457763672,20.520000457763672,20.520000457763672,20.520000457763672,0
2010-06-25,HYMTF,Hyundai,17.75,20.649999618530273,20.649999618530273,20.649999618530273,2406
2010-06-28,HYMTF,Hyundai,20.649999618530273,20.649999618530273,20.649999618530273,20.649999618530273,0
2010-06-29,HYMTF,Hyundai,20.700000762939453,20.700000762939453,20.100000381469727,20.200000762939453,1256
2010-06-30,HYMTF,Hyundai,21.25,21.25,21.25,21.25,325
2010-07-01,HYMTF,Hyundai,20.0,20.0,19.799999237060547,19.799999237060547,3309
2010-07-02,HYMTF,Hyundai,19.799999237060547,19.799999237060547,19.799999237060547,19.799999237060547,0
2010-07-06,HYMTF,Hyundai,19.799999237060547,19.799999237060547,19.799999237060547,19.799999237060547,0
2010-07-07,HYMTF,Hyundai,19.25,19.399999618530273,19.25,19.399999618530273,200
2010-07-08,HYMTF,Hyundai,19.0,19.0,19.0,19.0,100
2010-07-09,HYMTF,Hyundai,19.450000762939453,19.450000762939453,19.450000762939453,19.450000762939453,100
2010-07-12,HYMTF,Hyundai,21.0,21.0,21.0,21.0,1000
2010-07-13,HYMTF,Hyundai,19.75,19.75,19.75,19.75,1000
2010-07-14,HYMTF,Hyundai,19.149999618530273,19.149999618530273,19.149999618530273,19.149999618530273,100
2010-07-15,HYMTF,Hyundai,18.600000381469727,19.299999237060547,18.600000381469727,19.299999237060547,500
2010-07-16,HYMTF,Hyundai,19.0,19.0,19.0,19.0,100
2010-07-19,HYMTF,Hyundai,19.0,19.0,19.0,19.0,100
2010-07-20,HYMTF,Hyundai,19.0,19.0,19.0,19.0,0
2010-07-21,HYMTF,Hyundai,20.25,20.25,20.25,20.25,4750
2010-07-22,HYMTF,Hyundai,20.25,20.25,20.25,20.25,0
2010-07-23,HYMTF,Hyundai,20.25,20.25,20.25,20.25,0
2010-07-26,HYMTF,Hyundai,19.200000762939453,19.200000762939453,19.200000762939453,19.200000762939453,1300
2010-07-27,HYMTF,Hyundai,19.200000762939453,19.200000762939453,19.200000762939453,19.200000762939453,0
2010-07-28,HYMTF,Hyundai,20.0,20.0,20.0,20.0,500
2010-07-29,HYMTF,Hyundai,20.0,20.0,20.0,20.0,0
2010-07-30,HYMTF,Hyundai,20.549999237060547,20.549999237060547,20.549999237060547,20.549999237060547,100
2010-08-02,HYMTF,Hyundai,21.799999237060547,21.799999237060547,21.799999237060547,21.799999237060547,300
2010-08-03,HYMTF,Hyundai,21.700000762939453,21.700000762939453,21.600000381469727,21.600000381469727,2195
2010-08-04,HYMTF,Hyundai,21.600000381469727,21.600000381469727,21.600000381469727,21.600000381469727,0
2010-08-05,HYMTF,Hyundai,21.600000381469727,21.600000381469727,21.600000381469727,21.600000381469727,0
2010-08-06,HYMTF,Hyundai,21.75,21.75,21.5,21.5,4800
2010-08-09,HYMTF,Hyundai,21.5,21.5,21.5,21.5,0
2010-08-10,HYMTF,Hyundai,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,300
2010-08-11,HYMTF,Hyundai,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,0
2010-08-12,HYMTF,Hyundai,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,0
2010-08-13,HYMTF,Hyundai,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,0
2010-08-16,HYMTF,Hyundai,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,0
2010-08-17,HYMTF,Hyundai,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,0
2010-08-18,HYMTF,Hyundai,20.299999237060547,20.299999237060547,20.299999237060547,20.299999237060547,0
2010-08-19,HYMTF,Hyundai,22.5,22.5,22.5,22.5,740
2010-08-20,HYMTF,Hyundai,20.100000381469727,20.100000381469727,20.100000381469727,20.100000381469727,350
2010-08-23,HYMTF,Hyundai,20.09000015258789,20.25,20.09000015258789,20.200000762939453,3575
2010-08-24,HYMTF,Hyundai,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,0
