Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Equity,Apple,AAPL,584,582,2,409,408,1
Equity,Microsoft,MSFT,550,551,1,630,636,6
Equity,Amazon,AMZN,567,564,3,674,676,2
Equity,Tesla,TSLA,648,645,3,299,291,8
Equity,JPMorgan Chase,JPM,660,659,1,401,403,2
Equity,Johnson & Johnson,JNJ,467,470,3,310,308,2
Equity,UnitedHealth,UNH,539,541,2,423,426,3
Equity,Visa,V,605,605,0,499,493,6
Equity,Procter & Gamble,PG,497,493,4,664,659,5
Equity,NVIDIA,NVDA,601,605,4,674,676,2
Equity,Alibaba,BABA,338,331,7,210,206,4
Equity,Toyota,TM,228,220,8,592,582,10
Equity,Samsung,005930.KS,541,541,0,655,653,2
Equity,Nestlé,NSRGY,275,273,2,362,362,0
Equity,Shell,SHEL,296,291,5,582,582,0
Equity,Walmart,WMT,597,605,8,430,426,4
Equity,Mastercard,MA,295,291,4,569,564,5
Equity,ASML Holding,ASML,617,622,5,454,457,3
Equity,LVMH,LVMUY,578,582,4,287,291,4
Equity,Tencent,TCEHY,525,528,3,389,385,4
Equity,TSMC,TSM,637,636,1,227,220,7
Equity,Roche Holding,RHHBY,354,355,1,483,480,3
Equity,Berkshire Hathaway,BRK-B,660,659,1,539,541,2
Equity,Novartis,NVS,602,605,3,423,426,3
Equity,Rio Tinto,RIO,294,291,3,197,196,1
Equity,Exxon Mobil,XOM,553,551,2,230,237,7
Equity,Johnson Controls,JCI,475,470,5,217,220,3
Equity,Intel,INTC,501,493,8,269,268,1
Equity,Coca-Cola,KO,644,645,1,468,470,2
Equity,Merck,MRK,394,385,9,586,582,4
Equity,Home Depot,HD,204,202,2,472,470,2
Equity,Oracle,ORCL,314,314,0,189,189,0
Equity,PayPal,PYPL,338,331,7,258,260,2
Equity,Netflix,NFLX,563,564,1,472,470,2
Equity,Salesforce,CRM,536,534,2,431,426,5
Equity,Adobe,ADBE,636,636,0,439,439,0
Equity,Lockheed Martin,LMT,636,636,0,401,403,2
