Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Equity,Apple,AAPL,309,308,1,251,250,1
Equity,Microsoft,MSFT,309,308,1,503,510,7
Equity,Amazon,AMZN,251,250,1,335,332,3
Equity,Alphabet,GOOG,503,510,7,335,332,3
Equity,Tesla,TSLA,229,237,8,433,426,7
Equity,JPMorgan Chase,JPM,366,368,2,503,510,7
Equity,Johnson & Johnson,JNJ,335,332,3,,,
Equity,UnitedHealth,UNH,309,308,1,447,440,7
Equity,Visa,V,237,237,0,503,510,7
Equity,Procter & Gamble,PG,366,368,2,575,565,10
Equity,NVIDIA,NVDA,447,440,7,309,308,1
Equity,Alibaba,BABA,355,354,1,258,259,1
Equity,Toyota,TM,366,368,2,503,510,7
Equity,Samsung,005930.KS,281,273,8,246,243,3
Equity,Nestlé,NSRGY,268,267,1,503,510,7
Equity,Shell,SHEL,402,403,1,287,290,3
Equity,Walmart,WMT,366,368,2,287,290,3
Equity,Mastercard,MA,366,368,2,237,237,0
Equity,ASML Holding,ASML,402,403,1,287,290,3
Equity,LVMH,LVMUY,503,510,7,287,290,3
Equity,Tencent,TCEHY,335,332,3,237,237,0
Equity,TSMC,TSM,287,290,3,402,403,1
Equity,Roche Holding,RHHBY,366,368,2,503,510,7
Equity,Berkshire Hathaway,BRK-B,402,403,1,575,565,10
Equity,Novartis,NVS,287,290,3,503,510,7
Equity,Rio Tinto,RIO,335,332,3,503,510,7
Equity,Exxon Mobil,XOM,402,403,1,287,290,3
Equity,Johnson Controls,JCI,268,267,1,575,565,10
Equity,Intel,INTC,268,267,1,447,440,7
Equity,Coca-Cola,KO,309,308,1,402,403,1
Equity,Merck,MRK,575,565,10,268,267,1
Equity,Home Depot,HD,287,290,3,402,403,1
Equity,Oracle,ORCL,268,267,1,575,565,10
Equity,PayPal,PYPL,293,290,3,,,
Equity,Netflix,NFLX,309,308,1,402,403,1
Equity,Salesforce,CRM,287,290,3,335,332,3
Equity,Adobe,ADBE,268,267,1,503,510,7
Equity,Lockheed Martin,LMT,366,368,2,237,237,0
Equity,Pfizer,PFE,335,332,3,287,290,3
Equity,Disney,DIS,503,510,7,366,368,2
Equity,Starbucks,SBUX,503,510,7,237,237,0
Equity,Caterpillar,CAT,402,403,1,287,290,3
Equity,Deere & Company,DE,237,237,0,503,510,7
Equity,Boeing,BA,503,510,7,366,368,2
Equity,3M,MMM,335,332,3,237,237,0
Equity,Goldman Sachs,GS,366,368,2,503,510,7
Equity,Morgan Stanley,MS,366,368,2,503,510,7
Equity,IBM,IBM,366,368,2,251,250,1
Equity,AT&T,T,402,403,1,309,308,1
Equity,Verizon,VZ,366,368,2,287,290,3
Equity,McDonald's,MCD,447,440,7,268,267,1
Equity,Nike,NKE,309,308,1,251,250,1
Equity,Sony,SONY,268,267,1,402,403,1
Equity,BP,BP,366,368,2,287,290,3
Equity,Unilever,UL,268,267,1,447,440,7
Equity,Honda,HMC,366,368,2,287,290,3
Equity,BHP Group,BHP,335,332,3,503,510,7
Equity,Siemens,SIEGY,287,290,3,335,332,3
Equity,BASF,BASFY,335,332,3,287,290,3
Equity,Banco Santander,SAN,503,510,7,366,368,2
Equity,Infosys,INFY,287,290,3,366,368,2
Equity,ICBC,IDCBY,251,250,1,287,290,3
Equity,Novo Nordisk,NVO,503,510,7,335,332,3
Equity,Thermo Fisher Scientific,TMO,268,267,1,335,332,3
Equity,AbbVie,ABBV,272,273,1,545,541,4
Equity,Comcast,CMCSA,503,510,7,287,290,3
Equity,Accenture,ACN,268,267,1,335,332,3
Equity,Linde,LIN,335,332,3,268,267,1
Equity,Texas Instruments,TXN,402,403,1,237,237,0
Equity,Union Pacific,UNP,366,368,2,575,565,10
Equity,NextEra Energy,NEE,287,290,3,237,237,0
Equity,Medtronic,MDT,287,290,3,402,403,1
Equity,Costco,COST,287,290,3,447,440,7
Equity,Amgen,AMGN,309,308,1,251,250,1
Equity,T-Mobile,TMUS,447,440,7,366,368,2
Equity,Philip Morris,PM,447,440,7,335,332,3
Equity,Lowe's,LOW,287,290,3,366,368,2
Equity,Schlumberger,SLB,366,368,2,575,565,10
Equity,BlackRock,BLK,402,403,1,309,308,1
Equity,Booking Holdings,BKNG,309,308,1,503,510,7
Equity,Canadian Natural Resources,CNQ,287,290,3,402,403,1
Equity,Enbridge,ENB,287,290,3,575,565,10
Equity,Royal Bank of Canada,RY,575,565,10,402,403,1
Equity,SAP,SAP,268,267,1,237,237,0
Equity,TotalEnergies,TTE,335,332,3,287,290,3
Equity,Sanofi,SNY,287,290,3,366,368,2
Equity,AstraZeneca,AZN,251,250,1,366,368,2
Equity,GlaxoSmithKline,GSK,251,250,1,287,290,3
Equity,HSBC,HSBC,268,267,1,503,510,7
Equity,Mitsubishi UFJ Financial,MUFG,503,510,7,366,368,2
Equity,Baidu,BIDU,309,308,1,268,267,1
Equity,JD.com,JD,292,290,2,,,
Equity,Meituan,MPNGF,446,440,6,,,
Equity,Reliance Industries,RELIANCE.NS,395,403,8,247,250,3
Equity,Vale,VALE,366,368,2,575,565,10
Equity,Petrobras,PBR,575,565,10,366,368,2
