Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Index,S&P 500,^GSPC,326,322,4,232,237,5
Index,Nasdaq Composite,^IXIC,490,487,3,180,179,1
Index,Dow Jones Industrial Average,^DJI,320,322,2,231,237,6
Index,Russell 2000,^RUT,232,237,5,367,368,1
Index,FTSE 100,^FTSE,368,368,0,491,493,2
Index,DAX Performance Index,^GDAXI,492,493,1,233,237,4
Index,CAC 40,^FCHI,491,493,2,184,183,1
Index,Euro Stoxx 50,^STOXX50E,556,551,5,194,196,2
Index,Nikkei 225,^N225,307,308,1,477,480,3
Index,Hang Seng,^HSI,360,362,2,180,179,1
Index,Shanghai Composite,000001.SS,476,480,4,180,179,1
Index,S&P/ASX 200,^AXJO,180,179,1,312,314,2
Index,TSX Composite,^GSPTSE,284,291,7,367,368,1
Index,Bovespa Index,^BVSP,191,189,2,523,528,5
Index,US Dollar Index,DX-Y.NYB,406,408,2,186,183,3
