Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Equity,Apple,AAPL,226,220,6,630,636,6
Equity,Microsoft,MSFT,519,510,9,200,202,2
Equity,Amazon,AMZN,199,196,3,496,493,3
Equity,Tesla,TSLA,228,220,8,406,408,2
Equity,JPMorgan Chase,JPM,315,314,1,232,237,5
Equity,Johnson & Johnson,JNJ,284,291,7,401,403,2
Equity,UnitedHealth,UNH,275,273,2,490,487,3
Equity,Visa,V,184,183,1,469,470,1
Equity,Procter & Gamble,PG,252,250,2,383,385,2
Equity,NVIDIA,NVDA,211,206,5,502,510,8
Equity,Alibaba,BABA,199,196,3,431,426,5
Equity,Toyota,TM,304,308,4,464,470,6
Equity,Samsung,005930.KS,241,243,2,348,345,3
Equity,Nestlé,NSRGY,372,368,4,181,179,2
Equity,Shell,SHEL,367,368,1,220,220,0
Equity,Walmart,WMT,192,189,3,551,551,0
Equity,Mastercard,MA,360,362,2,468,470,2
Equity,ASML Holding,ASML,500,493,7,357,355,2
Equity,LVMH,LVMUY,366,368,2,190,189,1
Equity,Tencent,TCEHY,343,345,2,236,237,1
Equity,TSMC,TSM,245,243,2,403,403,0
Equity,Roche Holding,RHHBY,384,385,1,489,487,2
Equity,Berkshire Hathaway,BRK-B,554,551,3,190,189,1
Equity,Novartis,NVS,283,291,8,393,385,8
Equity,Rio Tinto,RIO,229,237,8,362,362,0
Equity,Exxon Mobil,XOM,188,189,1,284,291,7
Equity,Johnson Controls,JCI,326,322,4,401,403,2
Equity,Intel,INTC,519,510,9,401,403,2
Equity,Coca-Cola,KO,441,439,2,353,355,2
Equity,Merck,MRK,226,220,6,551,551,0
Equity,Home Depot,HD,304,308,4,180,179,1
Equity,Oracle,ORCL,401,403,2,232,237,5
Equity,PayPal,PYPL,298,291,7,199,196,3
Equity,Netflix,NFLX,196,196,0,316,314,2
Equity,Salesforce,CRM,344,345,1,199,196,3
Equity,Adobe,ADBE,226,220,6,326,322,4
Equity,Lockheed Martin,LMT,210,206,4,367,368,1
