Category,Instrument,Ticker,Cycle1,Cycle1_Match,Cycle1_Delta,Cycle2,Cycle2_Match,Cycle2_Delta
Equity,Apple,AAPL,221,220,1,514,510,4
Equity,Microsoft,MSFT,256,251,5,459,469,10
Equity,Amazon,AMZN,650,653,3,262,261,1
Equity,Alphabet,GOOG,636,635,1,328,332,4
Equity,Tesla,TSLA,514,510,4,359,362,3
Equity,JPMorgan Chase,JPM,556,551,5,665,659,6
Equity,Johnson & Johnson,JNJ,247,243,4,531,533,2
Equity,UnitedHealth,UNH,384,385,1,265,268,3
Equity,Visa,V,320,322,2,459,469,10
Equity,Procter & Gamble,PG,371,368,3,658,659,1
Equity,NVIDIA,NVDA,313,314,1,491,493,2
Equity,Alibaba,BABA,556,551,5,231,237,6
Equity,Toyota,TM,355,354,1,271,268,3
Equity,Samsung,005930.KS,525,527,2,449,469,20
Equity,Nestlé,NSRGY,424,426,2,665,659,6
Equity,Shell,SHEL,328,332,4,658,659,1
Equity,Walmart,WMT,265,268,3,320,322,2
Equity,Mastercard,MA,636,635,1,581,551,30
Equity,ASML Holding,ASML,343,344,1,486,487,1
Equity,LVMH,LVMUY,665,659,6,508,510,2
Equity,Tencent,TCEHY,245,243,2,531,533,2
Equity,TSMC,TSM,219,220,1,543,541,2
Equity,Roche Holding,RHHBY,665,659,6,226,220,6
Equity,Berkshire Hathaway,BRK-B,347,344,3,256,251,5
Equity,Novartis,NVS,665,659,6,434,426,8
Equity,Rio Tinto,RIO,665,659,6,581,551,30
Equity,Exxon Mobil,XOM,658,659,1,328,332,4
Equity,Johnson Controls,JCI,454,469,15,643,645,2
Equity,Intel,INTC,268,268,0,331,332,1
Equity,Coca-Cola,KO,320,322,2,658,659,1
Equity,Merck,MRK,320,322,2,658,659,1
Equity,Home Depot,HD,371,368,3,,,
Equity,Oracle,ORCL,459,469,10,320,322,2
Equity,PayPal,PYPL,242,243,1,331,332,1
Equity,Netflix,NFLX,262,261,1,343,344,1
Equity,Salesforce,CRM,424,426,2,459,469,10
Equity,Adobe,ADBE,608,635,27,221,220,1
Equity,Lockheed Martin,LMT,379,385,6,470,469,1
Equity,Pfizer,PFE,367,368,1,247,243,4
Equity,Disney,DIS,347,344,3,531,533,2
Equity,Starbucks,SBUX,384,385,1,439,426,13
Equity,Caterpillar,CAT,379,385,6,229,237,8
